Item ID,Item Lookup Type ID,Name,Description,UDF01,UDF02,UDF03,UDF04,UDF05,UDF06,UDF07,UDF08,UDF09,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20
1612,1,30C-F1-0250-STF,"2-1/2"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F07 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1613,1,30C-F1-0300-SLF,"3"" 3-Way, L-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F10 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1614,1,30C-F1-0300-STF,"3"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F10 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1615,1,30C-F1-0400-SLF,"4"" 3-Way, L-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F12 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1616,1,30C-F1-0400-STF,"4"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F12 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1617,1,30C-F1-0400-SXX-T,"4"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port. W/ STFE Seats",,,,,,,,,,,,,,,,,,,,
1618,1,30C-F1-0600-SLF,"6"" 3-Way, L-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F12 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1619,1,30C-F1-0800-SLF,"8"" 3-Way, L-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F16 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
1620,1,30C-F1-0800-STF,"8"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, Flanged Ends, Full Port, F16 B.C. W/ RTFE Seats",,,,,,,,,,,,,,,,,,,,
3196,1,30C-F1-1000-SLF,"10""",,,,,,,,,,,,,,,,,,,,
3299,1,30C-F1-1000-STF,*,,,,,,,,,,,,,,,,,,,,
1621,1,30C-F3-0200-ITF,"2"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, 300# Flanged Ends, Full Port, RTFE Seats",,,,,,,,,,,,,,,,,,,,
1622,1,30C-F3-0600-STF,"6"" 3-Way, T-Port, Carbon Steel Body, SST Ball & Stem, 300# Flanged Ends, Full Port, RTFE Seats",,,,,,,,,,,,,,,,,,,,
1623,1,30-F1-0150-ILF,"1-1/2"" 3-Way, L-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F05 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
