SerialNo.,HeatNo.,Component,A-TPartNo.,Size,Material,EndStyle,Notes,VendorNo.,PONo.,ShipmentReference,Date,FileName(exact).pdf
,0LCYS,BODY,V8TH0050SXX6,"1/2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0LHPS,END CAP,V8TH0050SXX6,"1/2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZ2S,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZ5S,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZ6S,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZ7S,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZ8S,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZ9S,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZAS,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9GZBS,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9KMDS,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,9KMES,BODY,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0E5NS,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0E5QS,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0FUHS,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0FUJS,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0FUKS,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0LF3S,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0LF4S,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0LF6S,END CAP,V8TH0200SXX6,"2""",CF8M,TH,,MAR001,56115,ATC32715A-a V8TH,2021-01-22,ATC32715A-a V8TH.pdf
,0EU4S,BODY,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0EU5S,BODY,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0EU6S,BODY,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0EU7S,BODY,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0KT4S,END CAP,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0KT6S,END CAP,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0KT7S,END CAP,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0KT8S,END CAP,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0KT9S,END CAP,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,0KX4S,END CAP,V9F10150SXX6,"1-1/2""",CF8M,F1,,MAR001,56115,ATC32715A-b V9F1,2021-01-22,ATC32715A-b V9F1.pdf
,HLS6AZ1,BALL,77-V60-0200-BAL,"2""",,,,MAR001,56204,ATC32799C BALL ,2021-01-22,ATC32799C BALL .pdf
,0KS3L,END CAP,88-SW-0200-END,"2""",CF3M,SW,,MAR001,56204,ATC32799C-a  88-SW,2021-01-22,ATC32799C-a  88-SW.pdf
,0KUCL,END CAP,88-SW-0200-END,"2""",CF3M,SW,,MAR001,56204,ATC32799C-a  88-SW,2021-01-22,ATC32799C-a  88-SW.pdf
,0KUDL,END CAP,88-SW-0200-END,"2""",CF3M,SW,,MAR001,56204,ATC32799C-a  88-SW,2021-01-22,ATC32799C-a  88-SW.pdf
,0KUEL,END CAP,88-SW-0200-END,"2""",CF3M,SW,,MAR001,56204,ATC32799C-a  88-SW,2021-01-22,ATC32799C-a  88-SW.pdf
,0L49L,END CAP,88-SW-0200-END,"2""",CF3M,SW,,MAR001,56204,ATC32799C-a  88-SW,2021-01-22,ATC32799C-a  88-SW.pdf
,094KS,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,094LS,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,094MS,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,094PS,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,977VS,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,97GGS,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,99F3S,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,99F4S,BODY,F91-F1-0200-XXX,"2""",CF8M,F1,,MAR001,56242,ATC32809B F91-F1,2021-01-22,ATC32809B F91-F1.pdf
,0K7AW,BODY,F90C-F1-0200-XXX,"2""",WCB,F1,,MAR001,56270,ATC32835A F90C-F1,2021-01-22,ATC32835A F90C-F1.pdf
,0K7BW,BODY,F90C-F1-0200-XXX,"2""",WCB,F1,,MAR001,56270,ATC32835A F90C-F1,2021-01-22,ATC32835A F90C-F1.pdf
,0K7CW,BODY,F90C-F1-0200-XXX,"2""",WCB,F1,,MAR001,56270,ATC32835A F90C-F1,2021-01-22,ATC32835A F90C-F1.pdf
,9K26W,BODY,F90C-F1-0200-XXX,"2""",WCB,F1,,MAR001,56270,ATC32835A F90C-F1,2021-01-22,ATC32835A F90C-F1.pdf
,0K95W,END CAP,F90C-F1-0200-XXX,"2""",WCB,F1,,MAR001,56270,ATC32835A F90C-F1,2021-01-22,ATC32835A F90C-F1.pdf
,0K96W,END CAP,F90C-F1-0200-XXX,"2""",WCB,F1,,MAR001,56270,ATC32835A F90C-F1,2021-01-22,ATC32835A F90C-F1.pdf
,0K97W,END CAP,F90C-F1-0200-XXX,"2""",WCB,F1,,MAR001,56270,ATC32835A F90C-F1,2021-01-22,ATC32835A F90C-F1.pdf
,0M37S,BODY,FD9-F3-0050-XXX,"1/2""",CF8M,F3,,MAR001,56270,ATC32835A-a FD9-F3,2021-01-22,ATC32835A-a FD9-F3.pdf
,8NYLS,BODY,FD9-F3-0050-XXX,"1/2""",CF8M,F3,,MAR001,56270,ATC32835A-a FD9-F3,2021-01-22,ATC32835A-a FD9-F3.pdf
,8NYNS,BODY,FD9-F3-0050-XXX,"1/2""",CF8M,F3,,MAR001,56270,ATC32835A-a FD9-F3,2021-01-22,ATC32835A-a FD9-F3.pdf
,0M3YS,END CAP,FD9-F3-0050-XXX,"1/2""",CF8M,F3,,MAR001,56270,ATC32835A-a FD9-F3,2021-01-22,ATC32835A-a FD9-F3.pdf
,8NYKS,END CAP,FD9-F3-0050-XXX,"1/2""",CF8M,F3,,MAR001,56270,ATC32835A-a FD9-F3,2021-01-22,ATC32835A-a FD9-F3.pdf
,8NYLS,END CAP,FD9-F3-0050-XXX,"1/2""",CF8M,F3,,MAR001,56270,ATC32835A-a FD9-F3,2021-01-22,ATC32835A-a FD9-F3.pdf
,8NYPS,END CAP,FD9-F3-0050-XXX,"1/2""",CF8M,F3,,MAR001,56270,ATC32835A-a FD9-F3,2021-01-22,ATC32835A-a FD9-F3.pdf
,7YX3W,BODY,21C-TH-0200-XXX,"2""",WCB,TH,,MAR001,56273,ATC32836A 21C-TH,2021-01-22,ATC32836A 21C-TH.pdf
,8S37W,BODY,21C-TH-0200-XXX,"2""",WCB,TH,,MAR001,56273,ATC32836A 21C-TH,2021-01-22,ATC32836A 21C-TH.pdf
,0S17W,END CAP,21C-TH-0200-XXX,"2""",WCB,TH,,MAR001,56273,ATC32836A 21C-TH,2021-01-22,ATC32836A 21C-TH.pdf
,9YYYW,END CAP,21C-TH-0200-XXX,"2""",WCB,TH,,MAR001,56273,ATC32836A 21C-TH,2021-01-22,ATC32836A 21C-TH.pdf
,4KSLS,BODY,20-TH-0300-XXX,"3""",CF8M,TH,,MAR001,56273,ATC32836A-a 20-TH,2021-01-22,ATC32836A-a 20-TH.pdf
,4KSNS,BODY,20-TH-0300-XXX,"3""",CF8M,TH,,MAR001,56273,ATC32836A-a 20-TH,2021-01-22,ATC32836A-a 20-TH.pdf
,4S3MS,BODY,20-TH-0300-XXX,"3""",CF8M,TH,,MAR001,56273,ATC32836A-a 20-TH,2021-01-22,ATC32836A-a 20-TH.pdf
,7LYKS,END CAP,20-TH-0300-XXX,"3""",CF8M,TH,,MAR001,56273,ATC32836A-a 20-TH,2021-01-22,ATC32836A-a 20-TH.pdf
,9KL1S,END CAP,20-TH-0300-XXX,"3""",CF8M,TH,,MAR001,56273,ATC32836A-a 20-TH,2021-01-22,ATC32836A-a 20-TH.pdf
,9KYXS,END CAP,20-TH-0300-XXX,"3""",CF8M,TH,,MAR001,56273,ATC32836A-a 20-TH,2021-01-22,ATC32836A-a 20-TH.pdf
,0E5TS,BODY,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56273,ATC32836A-b V8TH,2021-01-22,ATC32836A-b V8TH.pdf
,0E5US,BODY,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56273,ATC32836A-b V8TH,2021-01-22,ATC32836A-b V8TH.pdf
,0F2MS,BODY,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56273,ATC32836A-b V8TH,2021-01-22,ATC32836A-b V8TH.pdf
,8FTTS,BODY,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56273,ATC32836A-b V8TH,2021-01-22,ATC32836A-b V8TH.pdf
,9GJSS,BODY,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56273,ATC32836A-b V8TH,2021-01-22,ATC32836A-b V8TH.pdf
,0LHPS,END CAP,V8TH0050SXX3,"1/2""",CF8M,TH,,MAR001,56273,ATC32836A-b V8TH,2021-01-22,ATC32836A-b V8TH.pdf
,925DW,BODY,90C-F1-0250-XXX,"2-1/2""",WCB,F1,,MAR001,56273,ATC32836A-c 90C-F1,2021-01-22,ATC32836A-c 90C-F1.pdf
,9S13W,END CAP,90C-F1-0250-XXX,"2-1/2""",WCB,F1,,MAR001,56273,ATC32836A-c 90C-F1,2021-01-22,ATC32836A-c 90C-F1.pdf
,9S5RW,END CAP,90C-F1-0250-XXX,"2-1/2""",WCB,F1,,MAR001,56273,ATC32836A-c 90C-F1,2021-01-22,ATC32836A-c 90C-F1.pdf
,9S5SW,END CAP,90C-F1-0250-XXX,"2-1/2""",WCB,F1,,MAR001,56273,ATC32836A-c 90C-F1,2021-01-22,ATC32836A-c 90C-F1.pdf
,HLS7B4S,BALL,77-V30-0150-BAL,"1-1/2""",CF8M,,,MAR001,56275,ATC32838B BALL,2021-01-22,ATC32838B BALL.pdf
,HLS4C6N,BALL,77-V30-0200-BAL,"2""",,,,MAR001,56275,ATC32838B BALL,2021-01-22,ATC32838B BALL.pdf
,HLS5B8A,BALL,77-V60-0250-BAL,"2-1/2""",,,,MAR001,56275,ATC32838B-a BALL,2021-01-22,ATC32838B-a BALL.pdf
,HLS4C6S,BALL,77-V60-0300-BAL,"3""",CF8M,,,MAR001,56275,ATC32838B-a BALL,2021-01-22,ATC32838B-a BALL.pdf
,HLS0A2V,BALL,77-V60-0300-BAL,"3""",,,,MAR001,56275,ATC32838B-a BALL,2021-01-22,ATC32838B-a BALL.pdf
,9KQFL,END CAP,F8R-SW-0150-END,"1-1/2""",CF3M,SW,,MAR001,56349,ATC32862 F8R-SW,2021-01-22,ATC32862 F8R-SW.pdf
,9KQGL,END CAP,F8R-SW-0150-END,"1-1/2""",CF3M,SW,,MAR001,56349,ATC32862 F8R-SW,2021-01-22,ATC32862 F8R-SW.pdf
,9KW9L,END CAP,F8R-SW-0150-END,"1-1/2""",CF3M,SW,,MAR001,56349,ATC32862 F8R-SW,2021-01-22,ATC32862 F8R-SW.pdf
,9KWAL,END CAP,F8R-SW-0150-END,"1-1/2""",CF3M,SW,,MAR001,56349,ATC32862 F8R-SW,2021-01-22,ATC32862 F8R-SW.pdf
,9KWBL,END CAP,F8R-SW-0150-END,"1-1/2""",CF3M,SW,,MAR001,56349,ATC32862 F8R-SW,2021-01-22,ATC32862 F8R-SW.pdf
,0EV5L,END CAP,77-ODT-0050-EXT,"1/2""",CF3M,,,MAR001,56366,ATC32874A 77-ODT,2021-01-22,ATC32874A 77-ODT.pdf
,0KUTL,END CAP,77-ODT-0050-EXT,"1/2""",CF3M,,,MAR001,56366,ATC32874A 77-ODT,2021-01-22,ATC32874A 77-ODT.pdf
,6SZ9W,BODY,21C-TH-0150-XXX,"1-1/2""",WCB,TH,,MAR001,56436,ATC32925A 21C-TH,2021-01-22,ATC32925A 21C-TH.pdf
,824XW,END CAP,21C-TH-0150-XXX,"1-1/2""",WCB,TH,,MAR001,56436,ATC32925A 21C-TH,2021-01-22,ATC32925A 21C-TH.pdf
,8Y4SW,END CAP,21C-TH-0150-XXX,"1-1/2""",WCB,TH,,MAR001,56436,ATC32925A 21C-TH,2021-01-22,ATC32925A 21C-TH.pdf
,434NW,END CAP,F88C-BW-0300-END,"3""",WCB,BW,,MAR001,56438,ATC32927A F88C-BW,2021-01-22,ATC32927A F88C-BW.pdf
,5KY2W,END CAP,F88C-BW-0300-END,"3""",WCB,BW,,MAR001,56438,ATC32927A F88C-BW,2021-01-22,ATC32927A F88C-BW.pdf
,5PZHW,END CAP,F88C-BW-0300-END,"3""",WCB,BW,,MAR001,56438,ATC32927A F88C-BW,2021-01-22,ATC32927A F88C-BW.pdf
,0L2SL,END CAP,88-BW-0125-END,"1-1/4""",CF3M,BW,,MAR001,56438,ATC32927A-a 88-BW,2021-01-22,ATC32927A-a 88-BW.pdf
,0K5LW,END CAP,88C-BW-0100-END,"1""",WCB,BW,,MAR001,56438,ATC32927A-b 88C-BW,2021-01-22,ATC32927A-b 88C-BW.pdf
,0KFJW,END CAP,88C-BW-0100-END,"1""",WCB,BW,,MAR001,56438,ATC32927A-b 88C-BW,2021-01-22,ATC32927A-b 88C-BW.pdf
